description,statusesCount,followersCount,favoritesCount,friendsCount,name,type,screenName,location,lang
#SocialMedia #Marketing #Twitter #Facebook #Instagram #MountainMikes #Fundraiser #Fundraising,323456,230076,320,183049,Brett Murphy,celeb,bmurphypointman," Bay Area, CA",en
"This is the official account of the City of Joburg. Like our Facebook page, follow @CityOfJoburg on Instagram and check out @CityOfJoburgZA on Snapchat.",167564,578147,16814,59545,City of Joburg,gov,CityofJoburgZA," Braamfontein, Johannesburg",en
CEO StarfishMedia. Host: @MatterofFacttv this weekend! https://t.co/XSrdri9kN9 Producer of many things including 4 kids. I <U+2764><U+FE0F>wine and horses.,49791,683063,4313,353242,Soledad O'Brien,celeb,soledadobrien, New York,en
Founder Social N Worldwide ~ Micro Local Micro Niche Mkts Plant & Sow http://t.co/SSzqnRvhvK http://t.co/ew7sIGWqfj Non Profit Speical http://t.co/vEog1aeOuw,158962,336252,1839,318313,Lonny Dunn,,ProNetworkBuild,#DMV 3 Million Connections,en
"Anyone worried about a child can call 0808 800 5000 24/7. Everything we do protects children, prevents abuse & transforms society so it’s safer for all children",33351,205647,9334,3762,NSPCC,,NSPCC,#everychildhood,en
"https://t.co/3IbdOMgXIf

https://t.co/oMs4f0rK8y

https://t.co/jI5kVsYOxt (https://t.co/taYpCvVTtV)",360608,185743,353199,204293,Swadeshi Vichar,,SV99999,#Kafir #Dhimmi #Taqiya #Ghazwa,en
Helping people grow faster on the internet #CEO @UKFast @UKFastSpace @Secarma @FarinetVerbier #Entrepreneur #Speaker Dr. of Business Administration DBA,14936,144862,7891,20088,Lawrence Jones MBE,,Lawrence_Jones,#Manchester #Snowdon #Verbier,en
Exposing Lifes Value EVERY Day & Consciously #Grateful for ALL in ALL Ways! Illuminating #Minds Through #Perpetually Amplifying Potently #Positive #Energy #NOW!,10032,100072,2103,88396,Social Gratitude,bis,GratefulEnergy,#Mind,en
'The Greatness Of A Nation And Its Moral Progress Can Be Judged By The Way Its Animals Are Treated' - Mahatma Gandhi,32246,294883,20118,220182,PROTECT ALL WILDLIFE,,Protect_Wldlife,#ThereIsNoExcuseForAnimalAbuse,en
The X Factor UK is back for a brand new season airing in the USA only on @AXSTV: https://t.co/iefNUP7Wfh.,41471,2925586,5513,4122,THE X FACTOR (USA),bis,TheXFactorUSA,#UKintheUSA,en
GreenLake Fund provides bridge financing for commercial real estate. Our firm offers creative capital solutions and lends Nationwide.- #CRE #GLF,1240,131581,1122,3705,GreenLake Fund,,GreenLakeFund,(626) 529 -1080 ext. 2,en
Be inspired to travel and live. Follow for daily posts that will make your day better.<U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800><U+2800> <U+2800><U+2800><U+2800> *We don't own all content*                   DM 4 Promotion,38,102726,10,56116,Hippie Travel,,Hippie_Travel,*Photographers DM Submissions*,en
I collect snapshots of the big picture.,56563,114206,12732,6579,kopiganja,,kopiganja,.,en
"Hey thanks for stopping by...  I tweet about positioning branding, marketing, productivity. If you are a small biz you might want to read my whitepaper below.",62335,109961,140,122552,Stephan Stavrakis,,3DThinking,@ home in my robe,en
"http://t.co/Ino0bTmn2V @BBCRadio4 programme. Informing, entertaining, surprising. Join us at 10am weekdays, 4pm Sat. Presented by @whjm and @janegarvey1.",13052,160166,6136,6266,BBC Woman's Hour,news,BBCWomansHour,@BBCRadio4,en
"Dedicated to @JosephEStiglitz, Nobel laureate in economics & “champion of the poor in the corridors of power.” By @janzemanek. Facebook: https://t.co/4PGBsp3F5f",3492,229318,36,27,Joseph Stiglitz,,stiglitzian,[unofficial account],en
<ed><U+00A0><U+00BD><ed><U+00B1><U+0091>QUEEN RZA•<ed><U+00A0><U+008C><ed><U+00B5><U+0093> EMPRESS AMD1 AMD1CEO@OfficialIlluminati.com <ed><U+00A0><U+00BC><ed><U+00BC><U+0088> <ed><U+00A0><U+00BD><ed><U+00B4><U+00BA>Lyrical Assassin• Melodic Messiah<ed><U+00A0><U+00BD><ed><U+00B4><U+00BB><ed><U+00A0><U+00BC><ed><U+00BE><U+00AC> https://t.co/a91RbaOryt <ed><U+00A0><U+00BD><ed><U+00B4><U+008A>https://t.co/HUMmJNW0Bl,21113,1042104,54977,82733,AMD1•ILLUMINATED,celeb,AMD1_CEO,\/•<ed><U+00A0><U+00BD><ed><U+00B1><U+0081>Purchase Full Albums<ed><U+00A0><U+00BD><ed><U+00B1><U+0081>•\/,en
"<U+0412><U+0441><U+0451> <U+043E><U+0442><U+043B><U+0438><U+0447><U+043D><U+043E>, <U+0431><U+0440><U+043E>. <U+041D><U+0435> <U+043E><U+0431><U+0440><U+0430><U+0449><U+0430><U+0439> <U+0432><U+043D><U+0438><U+043C><U+0430><U+043D><U+0438><U+044F>. <U+041F><U+0440><U+043E><U+0441><U+0442><U+043E> <U+0442><U+0430><U+043A> <U+043F><U+043E><U+043B><U+0443><U+0447><U+0438><U+043B><U+043E><U+0441><U+044C>.",613,168703,0,3388,robert faroni,foreign,robert_faroni,<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>,ru
"Architectural news, projects, competitions © https://t.co/tIEY98jgkG & Simon Rastorguev",46321,319462,131,226092,Architecture News,foreign,NewsArch,"<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>, <U+0420><U+043E><U+0441><U+0441><U+0438><U+044F>",ru
<U+041E><U+0444><U+0438><U+0446><U+0438><U+0430><U+043B><U+044C><U+043D><U+044B><U+0439> <U+0430><U+043A><U+043A><U+0430><U+0443><U+043D><U+0442> <U+043F><U+043E><U+0434><U+0434><U+0435><U+0440><U+0436><U+043A><U+0438> <U+0412><U+043B><U+0430><U+0434><U+0438><U+043C><U+0438><U+0440><U+0430> <U+041F><U+0443><U+0442><U+0438><U+043D><U+0430> <U+043D><U+0430> <U+0434><U+043E><U+043B><U+0436><U+043D><U+043E><U+0441><U+0442><U+044C> <U+041F><U+0440><U+0435><U+0437><U+0438><U+0434><U+0435><U+043D><U+0442><U+0430> <U+0420><U+043E><U+0441><U+0441><U+0438><U+0439><U+0441><U+043A><U+043E><U+0439> <U+0424><U+0435><U+0434><U+0435><U+0440><U+0430><U+0446><U+0438><U+0438> <U+0432> 2018 <U+0433><U+043E><U+0434><U+0443>,7198,598087,6,19192,<U+041F><U+0440><U+0435><U+0437><U+0438><U+0434><U+0435><U+043D><U+0442> <U+0420><U+0424> 2018,foreign,PutinGo2018,"<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>, <U+0420><U+043E><U+0441><U+0441><U+0438><U+044F>, <U+041A><U+0440><U+0435><U+043C><U+043B><U+044C>",ru
"http://t.co/7mIIToGE44 <U+041A><U+043E><U+0441><U+043C><U+0435><U+0442><U+043E><U+043B><U+043E><U+0433><U+0438><U+044F>: <U+043F><U+0438><U+043B><U+0438><U+043D><U+0433>, <U+044D><U+043F><U+0438><U+043B><U+044F><U+0446><U+0438><U+044F>, <U+043A><U+043E><U+0441><U+043C><U+0435><U+0442><U+0438><U+043A><U+0430>, <U+043C><U+0435><U+0437><U+043E><U+0442><U+0435><U+0440><U+0430><U+043F><U+0438><U+044F>, <U+0444><U+0438><U+0442><U+043D><U+0435><U+0441>.
Fitness, wellness, cosmetology, health and beauty",17326,135002,0,134204,Galina,foreign,galabeauty,"<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>, Moscow",ru
<U+0418><U+043D><U+0436><U+0435><U+043D><U+0435><U+0440><U+043D><U+044B><U+0435> <U+0440><U+0435><U+0448><U+0435><U+043D><U+0438><U+044F> / Engineering solutions / <U+041A><U+043E><U+043D><U+0434><U+0438><U+0446><U+0438><U+043E><U+043D><U+0438><U+0440><U+043E><U+0432><U+0430><U+043D><U+0438><U+0435> / <U+0412><U+0435><U+043D><U+0442><U+0438><U+043B><U+044F><U+0446><U+0438><U+044F> / <U+041E><U+0442><U+043E><U+043F><U+043B><U+0435><U+043D><U+0438><U+0435> / <U+0412><U+043E><U+0434><U+043E><U+0441><U+043D><U+0430><U+0431><U+0436><U+0435><U+043D><U+0438><U+0435> / <U+0422><U+0435><U+043F><U+043B><U+043E><U+0432><U+044B><U+0435> <U+043D><U+0430><U+0441><U+043E><U+0441><U+044B> / <U+041F><U+0440><U+043E><U+0435><U+043A><U+0442><U+0438><U+0440><U+043E><U+0432><U+0430><U+043D><U+0438><U+0435> / <U+041C><U+043E><U+043D><U+0442><U+0430><U+0436> / <U+0421><U+0435><U+0440><U+0432><U+0438><U+0441>,138289,151202,15,4552,<U+0411><U+0430><U+043B><U+0442><U+0438><U+043A>-<U+041A><U+043E><U+043C><U+0444><U+043E><U+0440><U+0442>,foreign,baltcomfort,"<U+0421><U+0430><U+043D><U+043A><U+0442>-<U+041F><U+0435><U+0442><U+0435><U+0440><U+0431><U+0443><U+0440><U+0433>, <U+0420><U+043E><U+0441><U+0441><U+0438><U+044F>",ru
"<U+0420><U+0430><U+0437><U+0440><U+0430><U+0431><U+043E><U+0442><U+043A><U+0430> <U+0441><U+0430><U+0439><U+0442><U+043E><U+0432>, <U+0441><U+0442><U+0430><U+0440><U+0442><U+0430><U+043F><U+044B>, <U+0438><U+043D><U+0442><U+0435><U+0440><U+043D><U+0435><U+0442>-<U+0440><U+0435><U+043A><U+043B><U+0430><U+043C><U+0430>, <U+0431><U+0438><U+0437><U+043D><U+0435><U+0441>, web, ad, marketing, pr, seo, business
Follow me, I'll follow you back
E-mail: litecat(at)gmail.com",7617,207005,18,241846,Max Volkov,foreign,maxvolkov,"<U+0421><U+0435><U+0432><U+0430><U+0441><U+0442><U+043E><U+043F><U+043E><U+043B><U+044C>, <U+041A><U+0440><U+044B><U+043C>, <U+0420><U+043E><U+0441><U+0441><U+0438><U+044F>",ru
<U+200F><U+0643><U+0627><U+062A><U+0628> <U+0635><U+062D><U+0641><U+064A> <U+0641><U+064A>|<U+0635><U+062D><U+064A><U+0641><U+0629> <U+0639><U+064A><U+0646> <U+062D><U+0627><U+0626><U+0644>|<U+0639><U+0636><U+0648> <U+0647><U+064A><U+0626><U+0629> <U+0627><U+0644><U+0635><U+062D><U+0627><U+0641><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629><U+060C> <U+0627><U+0647><U+062A><U+0645><U+0627><U+0645><U+0627><U+062A><U+064A> <U+063A><U+064A><U+0631> <U+0633><U+064A><U+0627><U+0633><U+064A><U+0629><U+060C> <U+0623><U+0633><U+0639><U+0649> <U+0644><U+0646><U+0634><U+0631> <U+0627><U+0644><U+0623><U+0644><U+0641><U+0629> <U+0627><U+0644><U+0625><U+062C><U+062A><U+0645><U+0627><U+0639><U+064A><U+0629> <U+0639><U+0628><U+0631> <U+0645><U+0642><U+0627><U+0644><U+0627><U+062A><U+064A> <U+0648><U+0639><U+0628><U+0631> <U+0647><U+0630><U+0627> <U+0627><U+0644><U+062D><U+0633><U+0627><U+0628>. <U+0645><U+0627><U+062C><U+0633><U+062A><U+064A><U+0631> <U+062D><U+0642><U+0648><U+0642><U+060C> <U+0627><U+0644><U+062D><U+0633><U+0627><U+0628> <U+062E><U+064A><U+0631><U+064A>,112418,256000,9080,202530,<U+062E><U+0627><U+062A><U+0645> <U+0627><U+0644><U+0634><U+0645><U+0631><U+064A>,foreign,khatimalshammar,"<U+062D><U+0627><U+0626><U+0644>, <U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629>",ar
Music Artist / Actor/ Model (BossNova)! #HIGHCLASSGRADS #BOSS   For Business Inquiries / Features- HighClassGrads@Gmail.com,666,102593,199,7080,Casanova Mills,,CasanovaMills,<U+0631><U+0626><U+064A><U+0633>,en
Artist <ed><U+00A0><U+00BC><ed><U+00BE><U+00A8> Content Creator <ed><U+00A0><U+00BE><ed><U+00B4><U+00B9><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+200D><U+2640><U+FE0F>full time alien <ed><U+00A0><U+00BD><ed><U+00B1><U+00BD>IG: b0ychad <ed><U+00A0><U+00BD><ed><U+00B3><U+00BA>Brand new video below! <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5>,17358,106822,17540,7209,JARRETT <ed><U+00A0><U+00BD><ed><U+00B2><U+008E>,,JARRETT,<U+0643><U+0627><U+0626><U+0646> <U+0641><U+0636><U+0627><U+0626><U+064A> <U+0633><U+0627><U+062D><U+0631>,en
@Atos Social Media Business Evangelist. Digital Transformation. Digital Inclusion.Accessibility.Sociology. @Plus10Org CMO. @axschat Founder @rotary @CorkCityPPN,228350,110873,358516,16735,Antonio Santos <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>,,akwyz,<U+26AB> Cork <U+26AA> London <U+26AA> Lisbon,en
Just your average #Superhero chick--- I used to have a heart...Now I don't even have a life!,37659,514851,397,110014,SUPERHERO,bis,WordsOf_Emotion,<U+2728>Never Never Land,en
<U+262E> Peace & Kindness @666_alhlwan @badassK237 @gigifollows @ScarfaceQbc #TT4F @Kleinslag #MUNEE @_71117_ #TFZ https://t.co/6g9r0grS91,119533,100483,53128,97500,Quinn,celeb,Quinnqueens,<U+274C>No Porn =BLOCK<U+274C>,en
<U+767E><U+82B1><U+7E5A><U+4E71><U+3067><U+3059><U+3002><U+30A4><U+30F3><U+30BF><U+30FC><U+30CD><U+30C3><U+30C8><U+51FA><U+8EAB><U+306E>MC<U+5C4B><U+3055><U+3093><U+3002><U+8DA3><U+5473><U+306F><U+30A8><U+30B4><U+30B5><U+30FC><U+30C1><U+3002><U+767E><U+82B1><U+304C><U+82D7><U+5B57><U+3067><U+7E5A><U+4E71><U+304C><U+540D><U+524D><U+3002><U+6BCE><U+9031><U+6C34><U+66DC>21<U+6642><U+304B><U+3089><U+751F><U+653E><U+9001><U+3057><U+3066><U+307E><U+3059>! DM<U+5BFE><U+5FDC><U+57FA><U+672C><U+7121><U+3044><U+3067><U+3059><U+30FC><U+3002><U+25C6><U+9023><U+7D61><U+5148>:ryouran2525@gmail.com,36304,156160,86809,112513,<U+767E><U+82B1> <U+7E5A><U+4E71>,foreign,ryouran2525,<U+7E5A><U+4E71><U+653E><U+9001><U+5C40><U+3067><U+691C><U+7D22>!,ja
"Official channel for Prime Minister Theresa May's office, based at 10 Downing Street.",11576,5321177,1752,801,UK Prime Minister,pol,Number10gov,"10 Downing Street, London",en
The official account of #UNHCR. Follow us as we provide vital aid and protection to #refugees + the forcibly displaced around the world and stand  #WithRefugees,44944,2183922,7676,37444,UN Refugee Agency,gov,Refugees,120 countries,en
"United Nations Development Programme helps empower lives & build resilient nations. To learn more, follow @ASteiner & visit: https://t.co/TiWuPSJlZu",50479,1142011,9004,4660,UN Development,gov,UNDP,170 countries & territories,en
Previously enigmatic.,593,312429,4,434,Paul Kedrosky,celeb,pkedrosky,"2,500m ASL",en
"I always follow back ppl who return follows me. Love Tech, Cars, Family, Frens & GOD. Not in tat order, ya. #Android 
#<U+03A4><U+0404><U+0391><U+041C>ƒSllSO<U+0412><U+0391>C<U+041A>",11703,246242,59150,243440,AhmadZul,foreign,ahmadzul,"3.02152106,101.60761407",en
Graphic Design Magazine,4669,120381,725,801,Grafik,foreign,grafikmag,31 New Inn Yard London EC2 3EY,en
"Vice President @ EFB Advocacy.  Veteran newsman, TV producer and digital storyteller, usually based in Washington, D.C.   24/7: chris@cbrowntv.com",6984,171213,208,16712,Christopher S. Brown,foreign,chrisbrowntv,"38.904969,-77.040199",en
"Michael Harris-Arzon, President Ardynn Media Group, Real Estate Icon, Branding and PR Expert, NAVIGATING THE HYPER TRENDING PATH TO BALANCED PROFESSIONALISM.",491546,102577,2341,33503,SimplisticPro,bis,simplisticpro,"40.255588,-76.877092",en
Home of the world's third-largest steerable radio telescope & the e-MERLIN National Facility. Part of the University of Manchester.,4497,244392,635,190,Jodrell Bank,bis,jodrellbank,"53.236057, -2.306871",en
"@TimeOutLondon #London Pub Of The Year #MovieTheme , Local Beers-Food #islington <U+2764><U+FE0F><ed><U+00A0><U+00BC><ed><U+00BD><U+00B4><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00BB><U+26BD><U+FE0F> <ed><U+00A0><U+00BD><",21335,422044,31844,395013,The Al<U+24C2><U+FE0F>a Islington™,bis,TheAlma_N1,59 Newington Green Rd N1 4QU,en
"Letters! Like tweets but papery. Currently politicised. See also: @speechesofnote, @listsofnote, @letterslive & @letterheady. Edited by @shaunusher.",20310,455147,5077,1596,Letters of Note,bis,LettersOfNote,"A Postbox, England",en
"A simply beautiful way to tweet.
App support & FAQ - https://t.co/ezDtz55wSG",54223,428833,551,7,Twitterrific,bis,Twitterrific,"a tree in Dubuque, IA",en
"Providing a word, phrase or abbreviation every day to help simplify the smoke & mirrors of the Offshore Oil and Gas Industry terminology",1943,145445,260,124640,Offshore Terminology,KEEP,OffshoreWords,"Aberdeen, Scotland",en
Head of Programmes @BBCR1. Host & Producer of @BAFTA nominated @LlondCeg on @S4C Agony Uncle @GayTimesMag,19584,410116,841,358,Aled Haydn Jones,celeb,ahj,Aberystwyth,en
The African Development Bank Group works to reduce poverty and improve living conditions on the continent. RTs <U+2260> endorsements.,9250,146722,559,917,AfDB_Group,foreign,AfDB_Group,"Abidjan, Côte d’Ivoire",en
The UAE's international awards for energy and sustainability pioneers.,7946,179218,1482,2084,Zayed Energy Prize,foreign,ZFEP,"Abu Dhabi, UAE",en
"Music is i. On Air, Online & on your phone! The home of #AOshow every morning! https://t.co/l0z4dX3UtH",63126,100815,5580,43438,iRadio <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB><ed><U+00A0><U+00BC><ed><U+00BE><U+0099><ed><U+00A0><U+00BD><ed><U+00B3><U+00B1>,,ThisisiRadio,Across Ireland 102-107FM,en
"We are an organization under Casa feranza, that are working for creating jobs in Africa, free education and free health care support.",7266,182757,116,152983,Casa Feranza Africa,foreign,CasaferanzaAfri,Africa,en
"We are @ONEcampaign Africa! An organisation of 8M+ members, taking action to end poverty, AIDS, preventable diseases! #GirlsCount #PovertyIsSexist",6085,182036,13144,94609,ONE,foreign,ONEinAfrica,Africa,en
"Find breaking news, multimedia, videos, reviews and opinions on African business, finance, private equity infrastructure and more. Watch CNBC Africa on DStv 410",61458,156000,362,535,CNBC Africa,foreign,cnbcafrica,Africa,en
"Safe water & the dignity of a toilet, for all.",13031,776183,6302,10727,Water.org,bis,Water,"Africa, Asia & Central America",en
"""Unhinged British witch"" ""a textbook succubus""- Russian Insider",90624,263953,75236,18271,Louise Mensch,foreign,LouiseMensch,"Agent of Chaos, PSYOP division",en
"Country Music, Mixed with Southern Rock and a little Blues. https://t.co/Uytl585uEd",2372,110490,5086,106324,Lance Grantham,foreign,countyroad440,"Alabama, USA",en
Internet of Things | High-Return Product + Service Portfolios | Game-Based Collaboration | Gorgeous Trousers,3545,155777,10,146577,Julian Keith Loren,foreign,jkloren,"Alameda, CA",en
Working to @UniteAlberta so we can get back our province on track. Former Taxpayers Federation CEO; Minister of Immigration; Employment & Social Devt; & Defence,27236,118396,20641,1328,Jason Kenney,foreign,jkenney,"Alberta, Canada",en
,18575,713427,2,114413,TELEMEDICINE,bis,netmedxpress,"Albuquerque, NM",en
Social Media marketing for business. We can exponentially increase your targeted audience utilizing cutting-edge technology. We have absolutely NO competitors!!,42283,206715,4,142829,"SNFB, Inc.",foreign,socmrktng,"Albuquerque, NM",en
STYLIST - TV PRESENTER - DJ - STYLE AMBASSADOR FOR @sainsburys - FOUNDER OF THE FASHION BRUNCH CLUB https://t.co/SDm6AJ1SCW,23913,1700214,2767,853,Gok Wan,celeb,therealgokwan,All Over,en
"Financial Journo/TV Presenter @BBCBreakfast, @BBCWatchdog, Shop Well For Less @BBCOne. Former engineer+retired Irish dancer. Agent: MNicholls@unitedagents.co.uk",33834,246578,3069,1089,Steph McGovern,news,stephbreakfast,All over (heart Middlesbrough),en
,7230,288728,50,783,michael sheen,celeb,michaelsheen,All over the place.,en
The UK's biggest parenting website with 1.9 million members & 8 million + visitors a month. Local information and friendly support when you need it most,30638,140940,8038,11199,Netmums,bis,Netmums,All over the UK,en
Founder @X1Fuel (All-Natural Nutrition for Student Athletes ) Strategy @LaunchandHustle. Top 50 Social Media Power Influencer. Hubby & Dad of 3 amazing kiddos.,98577,193519,131,48282,Brett Relander,foreign,BrettRelander,"Allen, TX",en
"Do your Feet Hurt or Always Tired? Greatest product on earth with 7E.9E,10E,14E widths. Our service is out of this world and we've love to talk to you NO CHARGE",23750,220087,4,209170,Ron Heinlein,foreign,RonHeinlein,Alta Loma,en
Latin American Herald Tribune -- Accurate and informed news and comment from South America and the Caribbean.  It's a big continent - Someone has to cover it.,177597,104153,2169,108864,LatAm Herald Tribune,foreign,LAHT,America Latina,en
"https://t.co/R4AiHOF6KL offers information on everything you need to know to visit, go out, do business or live in Amsterdam.",7687,335513,203,434,I amsterdam,foreign,Iamsterdam,Amsterdam,en
#ASOT #Content #EDM  #Dj #InternetRadio #Label #OnAir #Producer #Record  #Trance #TranceFamily https://t.co/WVLHchqRl6 https://t.co/VrUqfPJq9B,154717,372051,121096,200302,Fab vd M Trance/Edm,foreign,fab_vd_m,"Amsterdam, Nederland",nl
"Official DJ TEI 1013 Fan Page  MOVIN 105.7 FM Resident DJ on The REMIX TOP 30 COUNTDOWN   
The most listened to Syndicated Remix show 103.5FM KTU & iHeart Radio",124698,118292,30145,120462,DJ TEI1013 FAN PAGE,foreign,TEI1013FanPage,"Anchorage, Ak",en
"The official British Army Twitter providing
news and information on deployments, training exercises, ceremonial duties &
regimental events. Recruiting @armyjobs",6711,189079,2711,842,British Army,gov,BritishArmy,"Andover, UK",en
Official worldwide account of Liverpool FC. #LFC,64247,7966310,5066,387767,Liverpool FC,sport,LFC,"Anfield, Liverpool",en
Bu Twitter Hesabi Bir Ironi Için Açilmistir | Sosyal Medya Uzmani | #USMED,1725,299590,0,267627,Ironik Adam,foreign,ironikadamm,"Ankara, Türkiye",tr
Carroll Foundation Trust,75399,337653,2698,324330,Maryland Trust,foreign,MarylandTrust,Annapolis Maryland Washington,en
"'Comedian' - Trigger Happy guy, Columnist, Dark Tourist, Monster Hunter, Hot-Air Balloonist, Fainéant. Managed by kim@alighttalentagency.co.uk",15216,218490,4335,170,Dom Joly,celeb,domjoly,anywhere,en
"Full-time Online #Marketer, #promoting people and #businesses professionally and effectively to my now 300,000 followers via https://t.co/z2wqzr8bmd since 2012.",52410,301462,345464,331385,Stewart Harding,celeb,Xposure4All,"Arbroath, United Kingdom",en
"Tweeting Climate Change news. Climate lecturer: science, policy, solutions. Director Klima 2020, former UN Director. For contact use svein@klima2020.no",28876,228485,337,98320,Svein T veitdal,foreign,tveitdal,"Arendal, Norway",en
"President @RecruitingDaily - at the intersection of HR and technology, I'm a writer, speaker, & advisor #hr #hrtech #recruiting",130350,306489,8832,330495,William Tincup,foreign,williamtincup,"Arlington, TX",en
Official IBM Twitter account. Follows the IBM Social Computing Guidelines.,9398,383482,2395,6437,IBM,bis,IBM,"Armonk, New York",en
"Connecting decision makers to a dynamic network of information, people and ideas.",23680,497780,125,112,Bloomberg LP,news,Bloomberg,Around the globe,en
"Top and breaking news, pictures, and videos from Reuters.",198175,18413620,814,1054,Reuters Top News,news,Reuters,Around the world,en
Tweet. Meet. Give. (Twestival has wrapped after five incredible years - @amanda),6795,199222,404,4762,Twestival®,foreign,twestival,Around the World.,en
Table Games Dealer at Caesars Entertainment,22962,325744,374861,328785,Trey Peterson,foreign,treyptrsn,"Asheville, NC",en
Bestselling Author of the Chakra Wisdom Oracle Cards - try the cards free here: http://t.co/mKsGmpVT8e,30721,169124,1076,86330,ToriHartman,foreign,ToriHartman,"Asheville, NC",en
Chief Football Writer @TimesSport. Update of '50 Years of Hurt; The Story of England Football & Why We Never Stop Believing' out now https://t.co/iVvejEH8F6,57226,1232035,26,2054,Henry Winter,celeb,henrywinter,At a game ,en
"Founder/CEO Talent Zoo, Co-Founder Strongbox West",6044,109470,3168,853,Rick Myers,foreign,RickM,Atlanta & some other places,en
"Award Winning YouTuber. Click the link in my bio to see all my celebrity, pranks, skits, comedy videos. I do this for a living so please subscribe. Thank you",177411,4340718,9559,1588993,MarQuis Trill,celeb,6BillionPeople,"Atlanta, GA",en
"Daily weather news, tidbits, video and alerts from The Weather Channel. #ItsAmazingOutThere",77504,2887840,6204,6341,The Weather Channel,bis,weatherchannel,"Atlanta, GA",en
"Olympic Medalist, Entrepreneur, & Only 5x Heavyweight Champion of the World. #RealDeal #Warrior  Phil 4:13 I can do all things through Christ who strengthens me",10132,259206,17510,13560,Evander Holyfield,foreign,holyfield,"Atlanta, GA",en
"Build your brand, sell more stuff. <U+2709><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B0><U+00B5>For updates about our service, check out @MailChimpStatus.",56675,232330,12700,16819,MailChimp,foreign,MailChimp,"Atlanta, GA",en
"Tracy Quantum is a Meditation expert, Motivational speaker, and self innovator, who delivers simple yet profound message for increasing sustainability",1950,130507,0,1017,Tracy Quantum,foreign,TracyQuantum,"Atlanta, Ga",en
"<U+25BA>Bi-lingual 3 Inspiration <U+266B> Art Photos SocialMedia Travel Christ Health Laughter I #Followback so keep Following me =)
~ I'm dreaming & reaching for the Stars",57082,110289,1137,122730,Lovyst Going,foreign,sno_buny,"Atlanta, GA",en
CoFounder of non-profit w/ 17 y/o daughter. We empower kids of all cultures to create a better planet by showcasing exemplary stories of amazing children.,45403,120571,734,102262,Gabe O'Neill,foreign,KidsAreHeroes,"Atlanta, Georgia, USA",en
"Russell, http://t.co/5AVVdvJbrt, favs:Boo, family, friends, personal accountability, tech, Apple, iphone, iPad, publishing, ideas, quotes, SocialMedia",20456,157417,5242,175353,Russ Leseberg,foreign,rleseberg,Augusta,en
"Celebrating the joy & love of real food all day, every day. Share your #WholeFoodsFaves & we'll retweet your faves.",218754,4862919,25557,528895,Whole Foods Market,bis,WholeFoods,"Austin, TX",en
Love the suffer-fest.,12746,3781694,718,573,Lance Armstrong,celeb,lancearmstrong,"Austin, TX",en
"Gigaom is the leading global voice on emerging technologies. We humanize technology and provide deep insight on disruptive companies, people and trends.",61803,325907,5678,149,Gigaom,foreign,gigaom,"Austin, TX",en
"Entrepreneur, Internet Marketer, Blogger, Cryptocurrency Fanatic, God.",71743,303923,4904,305350,Erik Christian,foreign,SimplyAfterDark,"Austin, TX",en
#1 Bestselling Author <U+271D>,19864,105646,3639,63510,Erik Qualman,foreign,equalman,"Austin, TX",en
TeamAwesome is traveling through Central America on two BMW F650 GS,23263,105154,13,113045,TeamAwesome,foreign,jonsekconsult,"Austin, TX",en
Official Twitter account of the 27th Prime Minister of Australia. Tweets by Julia are signed JG.,3014,803260,13,186578,Julia Gillard,celeb,JuliaGillard,Australia,en
Head of Marketing at @clearnetworksau. Engaged to be married. Life is good! Jesus follower. Digital tinkerer. Blogger. Speaker. Hacker. Opinions my own.,35161,498249,522,11087,Alister Cameron,celeb,alicam,Australia,en
"Mark, first home buyer who runs the Suburb View network of web sites.",298,383932,15,124185,Mark,foreign,suburbview,Australia,en
Corp. Learning Consultant #Management & #Leadership  #Career Tips & #SocialMedia. Try not to bore you so I don't do personal update Twts!,8498,151968,72,51,rictownsend,foreign,rictownsend,Australia,en
"interested in #strategic thinking, #leadership, #people RTs do not imply endorsement. Views are my own.",376,141127,359,2646,Peter Iancov,foreign,PeterYankov,Australia,en
Independent news + analysis from the sharpest academic minds. Monthly audience: 5.2m users onsite + 35m through creative commons republication.,53012,129252,3794,5023,The Conversation,news,ConversationEDU,Australia,en
All the latest news and trends from Domain's national property team.      Follow us on Facebook: http://t.co/MQUfaepXRI & http://t.co/et1IniwFQV,24717,122604,1723,3622,Domain,foreign,Domaincomau,Australia,en
