"","name","degree.total","degree.in","degree.out","strength.total","strength.in","strength.out","between","closeness","eigenvector","PageRank","degreeStrength.out","degreeStrength.in","Account Category","Account Type","description","statusesCount","followersCount","favoritesCount","friendsCount","name.y","created","protected","verified","location","lang","id"
"30","BarbourNews",1850,241,1609,2739,1018,1721,0.128872684295854,0.852665812555435,0.00390994582036387,0.251993423167625,1.06960845245494,4.22406639004149,"Related","Business","News from Barbour Product Search, the best place to search & specify building products. Follow @Grace_Barbour @Paul_BPS @KatjaBPS @amy_BPS #BIM #Sustainability",15153,7500,737,6489,"BPS News",2011-03-04 15:35:27,FALSE,FALSE,"UK","en","260774643"
"31","ThirlwallAssoc",1850,157,1693,2520,350,2170,0.0676586729190479,0.846865364850977,0.00296433630629753,0.103708840123092,1.2817483756645,2.22929936305732,"Related","Individual","Landscape architect | Technology, design and collaboration | Author @FromIdeatoSite | Director Thirlwall Associates | Adviser @HeritageLottery | Runs on tea",19856,5229,5302,5732,"Claire Thirlwall",2009-03-07 12:34:38,FALSE,FALSE,"Oxfordshire, UK","en","23188677"
"32","CIHhousing",1823,560,1263,10104,5254,4850,0.0422489004293346,0.653202974595146,0.141193924208621,0.519281353444384,3.84006334125099,9.38214285714286,"Keep",NA,"The Chartered Institute of Housing (CIH) is the professional body for people who work in housing, with members worldwide",15201,26399,2849,1995,"CIH",2009-10-23 21:00:47,FALSE,TRUE,"Coventry, UK","en","84687736"
"33","ConstructionYT",1808,380,1428,3437,1452,1985,0.1728664526954,0.841102415787683,0.0102921628820589,0.251351541397601,1.39005602240896,3.82105263157895,NA,NA,"Construction Youth Trust helps young people overcome barriers and build better futures. Instagram: ConstructionYouthTrust.",8130,9633,1672,3253,"Construction Youth",2011-03-29 10:09:36,FALSE,FALSE,"United Kingdom","en","273893556"
"34","natalieben",1789,248,1541,2687,591,2096,0.255686128250813,0.84401521802751,0.0110373265213151,0.126487606522945,1.36015574302401,2.38306451612903,"Government","Individual","@TheGreenParty candidate for Sheffield Central. Party leader 2012-16. Follows not an endorsement. Promoted by Eamonn Ward, for N.B., 73 Eskdale Rd, S6 1SL",50179,146045,358,88820,"Natalie Bennett",2008-10-04 22:49:36,FALSE,TRUE,"Sheffield, England","en","16596200"
"35","GeoffWilkinson",1786,269,1517,2697,551,2146,0.136019203499024,0.843357052344283,0.00718648864728341,0.129659837825225,1.41463414634146,2.04832713754647,"Related","Individual","MD of Wilkinson Construction Consultants, UK Building Regs Expert, Fire Engineer, Arsenal Fan, Partial to the odd Real Ale, Green Party",27429,7581,3231,5319,"Geoff Wilkinson",2009-02-05 21:30:04,FALSE,FALSE,"United Kingdom","en","20190747"
"36","ArchitectsDF",1752,275,1477,2277,772,1505,0.171005412681077,0.847736625514403,0.00337316334614633,0.214270604686061,1.01895734597156,2.80727272727273,NA,NA,"#ArchitectsDatafile magazine MORE NEWS, MORE PROJECTS AND ALWAYS FREE to you the UK Architect. Register on website for magazine and email newsletter",14138,9007,932,5673,"Architects' Datafile",2011-07-06 11:05:14,FALSE,FALSE,"UK","en","330265173"
"37","KathleenMJKelly",1751,177,1574,2675,387,2288,0.054483312763274,0.801185294934716,0.0324516067834952,0.0941618990161961,1.45362134688691,2.1864406779661,"Government","Individual","Leading the development of a collaborative funding stream for @biglotteryfund. Passionate about inspiring positive social policy change.",7043,4954,1822,3040,"Kathleen Kelly",2011-01-19 16:06:55,FALSE,FALSE,"York","en","240295541"
"38","EnergySvgTrust",1744,597,1147,4148,1380,2768,0.0570820374003114,0.660710194730813,0.00974198571639321,0.290360696338744,2.41325196163906,2.31155778894472,"Keep","Charity","We help people and organisations save energy with expert impartial advice. Contact the Energy Saving Advice Service on 0300 123 1234 or energy-advice@est.org.uk",8313,43254,1037,1776,"Energy Saving Trust",2009-04-30 12:49:25,FALSE,TRUE,"London, England","en","36653615"
"39","proctorgroup",1742,143,1599,2673,209,2464,0.0678698576656274,0.845252051582649,0.00142704564423274,0.0961083558672518,1.54096310193871,1.46153846153846,"Related","Business","Family Business, Serving 80 years of Technical & Innovative Product Solutions to the Construction Industry.",2612,3994,1789,4622,"A Proctor Group Ltd.",2010-09-30 16:12:47,FALSE,FALSE,"Blairgowrie","en","197080275"
"40","SaintGobainUK",1736,418,1318,3413,1422,1991,0.182684335493757,0.836143996134332,0.0124328450645769,0.299047999169334,1.51062215477997,3.40191387559809,NA,NA,"Designs, manufactures + distributes materials + solutions which are key ingredients in the wellbeing of each of us and the future of all. Improving Daily Lives.",8026,15019,2151,2178,"Saint-Gobain UK",2010-01-29 09:27:59,FALSE,FALSE,"UK","en","109517522"
"41","SadiqKhan",1731,463,1268,3511,1070,2441,0.222902101138417,0.760515096910298,0.0217104015890492,0.281043037843244,1.92507886435331,2.3110151187905,"Government","Individual","Mayor of London. #TeamKhan",24876,761233,4138,8464,"Sadiq Khan",2009-01-23 15:21:58,FALSE,TRUE,"Tooting, London","en","19397942"
"42","HCA_UK",1730,501,1229,2936,1047,1889,0.204023938234698,0.814765985497693,0.0222758093655086,0.185410618509316,1.53702196908055,2.08982035928144,"Keep","Government","Later this year, we will launch as @HomesEngland. 

Help shape our purpose and priorities using  #ShapeHomesEngland.",8623,23555,446,2025,"HCA",2009-05-14 11:20:26,FALSE,FALSE,"England","en","39973677"
"43","parityprojects",1724,241,1483,2441,458,1983,0.0984432328589736,0.843891733723482,0.00562382276178606,0.117433895512902,1.33715441672286,1.90041493775934,NA,NA,"Award winning experts in home energy efficiency and retrofit. Services across the UK",2735,3241,360,3078,"Parity Projects",2009-12-29 11:46:59,FALSE,FALSE,"UK-wide","en","100205528"
"44","ICE_engineers",1715,449,1266,4171,2368,1803,0.181702481330113,0.827704965081795,0.0144806404634318,0.36450450203732,1.42417061611374,5.2739420935412,"Keep","Trade","Civil engineers shaping the world. News and updates from the Institution of Civil Engineers (ICE), representing 90,000 members worldwide.",10441,41767,3938,2540,"ICE",2009-05-11 14:10:57,FALSE,TRUE,"One Great George Street","en","39257690"
"45","profjacquiglass",1670,232,1438,3298,833,2465,0.0706341059821424,0.832083092902481,0.00709558320119882,0.151864499603415,1.71418636995828,3.59051724137931,NA,NA,"Professor, FCIOB, FCABE, @LboroABCE, @LboroUniversity #APRES #responsiblesourcing, #sustainability, #architecture #construction",12936,3593,10980,4177,"Jacqueline Glass",2012-11-30 01:09:24,FALSE,FALSE,"Loughborough University","en","979480344"
"46","BBCr4today",1666,507,1159,2811,1001,1810,0.240963229091663,0.762559492332099,0.024186598440985,0.263037289482463,1.56169111302847,1.97435897435897,"Media","News","@BBCRadio4 flagship news programme, on air 6-9am weekdays and 7-9am on Saturday. Talk about the programme #r4today",49489,591700,1208,13894,"BBC Radio 4 Today",2007-08-13 23:23:33,FALSE,TRUE,"London, UK","en","8170292"
"47","HousingPlusTH",1649,48,1601,2132,78,2054,0.0280224557246943,0.833566164073414,0.0054227631793648,0.0705495330674529,1.28294815740162,1.625,"Keep","Business","",1516,1395,150,4511,"Housing Plus Academy",2016-01-08 11:36:00,FALSE,FALSE,"","en","4744058362"
"48","CitizensAdvice",1647,296,1351,2298,887,1411,0.169296091011127,0.779916167124893,0.0232757099907927,0.194273249851959,1.04441154700222,2.99662162162162,NA,NA,"We provide free, confidential & independent advice to help people overcome their problems. We can't give advice on here but can signpost.",21314,76641,4157,4033,"Citizens Advice",2008-11-25 21:41:28,FALSE,TRUE,"England and Wales","en","17632593"
"49","CarbonBrief",1631,284,1347,2776,1249,1527,0.0960317429442499,0.749967494474061,0.0135375217284981,0.211328469947221,1.13363028953229,4.39788732394366,NA,NA,"Award-winning website dedicated to analysis and fact-checking of energy policy and climate change science, with a focus on the UK.",33734,33725,915,5853,"Carbon Brief",2010-12-06 10:05:27,FALSE,FALSE,"UK","en","223416400"
"50","DeHavilland",1623,116,1507,2237,266,1971,0.0583911682704819,0.791546589817483,0.00662946866777971,0.096377259043837,1.30789648307896,2.29310344827586,NA,NA,"Definitive provider of political intelligence, parliamentary monitoring and research services for public affairs professionals. Interactions not endorsements.",16283,5046,318,3041,"DeHavilland",2009-03-25 17:07:01,FALSE,TRUE,"London","en","26538913"
"51","GoodEnergy",1622,281,1341,2019,505,1514,0.129749106771608,0.829848455783618,0.00531463834003808,0.132657141756376,1.12900820283371,1.79715302491103,NA,NA,"Switch to Good Energy’s 100% renewable electricity and Green Gas to help build a greener future.",13604,37469,1133,7700,"Good Energy",2009-05-28 14:34:47,FALSE,FALSE,"Chippenham, England","en","43120198"
"52","DECCgovuk",1621,754,867,5276,3183,2093,0.0315687644202514,0.60681722541731,0.020740310743964,0.533674839536805,2.41407151095732,4.22148541114058,"Keep","Government","Account of the former Dept of Energy & Climate Change. Please follow the Department for Business, Energy & Industrial Strategy @beisgovuk",8210,90046,15,4924,"DECC",2009-05-19 08:07:49,FALSE,TRUE,"London, UK","en","41077970"
"53","CNRebeccaEvans",1614,407,1207,3492,891,2601,0.115929602668383,0.828775324488721,0.00807644847862747,0.190242670932264,2.15492957746479,2.18918918918919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Channel4News",1605,461,1144,2647,1113,1534,0.206082305897175,0.703843807199512,0.0227938383837443,0.215469436957455,1.34090909090909,2.41431670281996,"Media","News","Stories that reveal and inspire, challenging expectations.",85728,1807320,457,4585,"Channel 4 News",2008-04-28 14:29:37,FALSE,TRUE,"","en","14569869"
"55","Glenigan",1601,266,1335,2498,454,2044,0.111135418275116,0.839225956641932,0.00304076647931091,0.124348230226568,1.5310861423221,1.70676691729323,NA,NA,"The UK's leading provider of construction contract leads & industry analysis. Also offering office relocation, removal & refit leads. Take a FREE trial today!",3311,13425,292,4555,"Glenigan",2009-01-06 14:58:08,FALSE,FALSE,"Bournemouth, UK","en","18677873"
"56","AnneDyeResearch",1600,178,1422,2400,350,2050,0.0581411036786952,0.826124319679175,0.00501343481596953,0.0982025663349321,1.44163150492264,1.96629213483146,NA,NA,"@RIBA Head of Research & Innovation. Currently on maternity leave… 
Co-editor of https://t.co/JHImRCdMPS",7805,3449,535,3249,"Anne Dye",2011-09-06 09:17:00,FALSE,FALSE,"London","en","368830047"
"57","innovateuk",1598,318,1280,2950,1256,1694,0.237372547640925,0.831084001729024,0.0100446131607248,0.210092449837929,1.3234375,3.94968553459119,NA,NA,"Innovate UK is the UK’s #innovation agency. We fund & support #science & #technology innovations that will grow the UK #economy YouTube: https://t.co/mKmzoCgpYq",37577,93294,10904,34589,"Innovate UK",2009-08-19 13:25:26,FALSE,TRUE,"Swindon, U.K.","en","66998204"
"58","britishgypsum",1583,237,1346,1962,510,1452,0.133084771543148,0.843439266913628,0.00339398476477269,0.146275703765284,1.07875185735513,2.15189873417722,NA,NA,"British Gypsum, part of the Saint-Gobain group, is the country’s leading manufacturer and supplier of gypsum-based plastering and drylining solutions.",9187,8433,1483,4616,"British Gypsum",2009-11-02 16:11:43,FALSE,FALSE,"Head Office: East Leake, LE12 ","en","86971625"
"59","UK_CW",1575,412,1163,3379,1782,1597,0.233804449554856,0.832163123978071,0.00906641965919643,0.315587292180358,1.3731728288908,4.3252427184466,"Keep","Trade","UK Construction Week is the UK's largest construction trade event, uniting more than 650 exhibitors with over 30,000 visitors | 10-12 OCT 2017 | #UKCW2017",13156,9757,5888,3331,"UK Construction Week",2014-10-30 11:54:32,FALSE,FALSE,"NEC Birmingham, England","en","2851189785"
"60","TRADA_",1556,219,1337,2679,592,2087,0.0750411224796773,0.835336712527154,0.00437277324905863,0.132219942217748,1.56095736724009,2.70319634703196,NA,NA,"TRADA is the leading authority on wood. Dedicated to inspiring and informing best practice design, specification and use of wood in the built environment.",4647,8006,544,4790,"TRADA",2009-04-21 21:36:33,FALSE,FALSE,"United Kingdom","en","34051710"
"61","TheBMBI",1547,148,1399,3455,999,2456,0.0840192761447047,0.842617841838722,0.00873212265908602,0.178835314861457,1.75553967119371,6.75,NA,NA,"BMBI tracks builders merchants sales to builders in UK. Produced by @MRAmarketing for @bmf_merchants using @GfK Builders Merchant Panel. https://t.co/Rj6Pw8FJEE",2076,2891,1239,4594,"BMBI",2015-10-26 15:34:50,FALSE,FALSE,"United Kingdom","en-gb","4047129382"
"62","Knauf_UK",1544,154,1390,1846,260,1586,0.0513993322550044,0.845706465959631,0.00118292388795635,0.124378478448254,1.1410071942446,1.68831168831169,NA,NA,"Build for the world we live in. We're one of the UK’s leading manufacturers of lightweight building materials. Ask @KnaufTechnical for help with products & more",2077,6013,348,3921,"Knauf UK and Ireland",2010-12-13 14:45:10,FALSE,FALSE,"Sittingbourne, England","en","226181908"
"63","grantshapps",1541,341,1200,1681,481,1200,0.242281530224993,0.831923076923077,0.00948522437974327,0.130725277610428,1,1.41055718475073,NA,NA,"Member of Parliament for Welwyn Hatfield",8389,89154,2,10944,"Grant Shapps MP",2008-03-08 22:27:13,FALSE,TRUE,"Welwyn Hatfield, Hertfordshire","en","14104027"
"64","fairsnape",1524,340,1184,2935,1084,1851,0.0999885825403142,0.819551008809321,0.0105562970496446,0.178874559681691,1.56334459459459,3.18823529411765,NA,NA,"Innovative sustainability & business strategist & advisor | author @FutuREstorative | speaker | UK @livingbuilding | EU @COSTRestore |  cycling | outside |",38402,9547,5058,3474,"Martin Brown",2009-02-13 15:10:15,FALSE,FALSE,"Forest of Bowland, Lancs, UK","en","20776432"
"65","theCCCuk",1513,272,1241,2568,509,2059,0.0883372607342778,0.790859232175503,0.00595523527283805,0.126773503942486,1.65914585012087,1.87132352941176,NA,NA,"Committee on Climate Change. Independent advice to government on building a low-carbon economy and preparing for climate change. 
Retweets for info only.",3178,13614,2445,3040,"CCC",2009-02-12 16:06:40,FALSE,TRUE,"London, UK","en","20688492"
"66","GregBarkerUK",1507,329,1178,2628,430,2198,0.0957494519780174,0.773121258153874,0.00585065177737829,0.115553724435097,1.86587436332767,1.30699088145897,NA,NA,"Former Minister for Energy & Climate Change, now member of House of Lords",6275,21106,701,2212,"Gregory Barker",2011-04-27 10:46:30,FALSE,TRUE,"","en","288723364"
"67","DebbieAnadapta",1502,210,1292,4115,853,3262,0.0553760263530157,0.818659223163174,0.0177342924153693,0.15487550028384,2.52476780185758,4.06190476190476,"Related","Individual","Lover of good design, great architecture, sustainable building. Work part time for several sustainable building associations but these tweets my own.",20367,1792,504,2307,"Debbie Mauger",2012-09-18 05:54:08,FALSE,FALSE,"East Grinstead","en","830443868"
"68","wienerbergeruk",1502,199,1303,2637,579,2058,0.0871500869520164,0.83756050338819,0.00357381424050626,0.148582368919442,1.57943207981581,2.90954773869347,NA,NA,"Wienerberger UK is a leading provider of wall, roof and landscaping solutions. In the UK we have four showrooms, 14 factories and six distribution depots.",5027,3740,1880,2747,"Wienerberger UK",2012-10-03 10:20:10,FALSE,FALSE,"","en","859474616"
"69","EEPaul",1501,332,1169,3714,2287,1427,0.0971683129520436,0.819473385110817,0.0129262607477991,0.333699404886019,1.22070145423439,6.88855421686747,"Keep","Individual","Construction SaaS ICT + collaboration consultant, writer, speaker; AEC tech PR, marketing + social media; blogger, Wikipedian, Crewe Alex FC + beer fan, cyclist",46970,13369,219,5055,"Paul Wilkinson",2008-05-09 09:09:43,FALSE,FALSE,"Blackheath, London SE3, UK","en","14711408"
"70","Helen_Barnard",1488,105,1383,3260,485,2775,0.0327180166563577,0.726783989247763,0.210547344610324,0.0955753604884294,2.00650759219089,4.61904761904762,NA,NA,"Head of Analysis, Joseph Rowntree Foundation @jrf_uk #UKpoverty #solveukpoverty #socialresearch  Retweets not endorsements.",14574,6936,471,4785,"Helen Barnard",2011-03-03 15:33:33,FALSE,FALSE,"York, England","en","260282430"
"71","policyJenny",1488,129,1359,2794,165,2629,0.0419250537524075,0.806750897477738,0.0113483935527183,0.0771011095634835,1.93451066961001,1.27906976744186,NA,NA,"Higher education policy advisor at @hefce, formerly at @natfednews. Trustee @thecareforum. #WideningParticipation #NCOP #HEFCEoutreach #HigherEd #ukhousing",4807,3444,8663,3161,"Jenny Ann Allen",2011-06-10 21:51:00,FALSE,FALSE,"Bristol, UK","en","314832174"
"72","NewStartMag",1485,125,1360,2237,274,1963,0.0541450055645824,0.797566371681416,0.0257352465257078,0.0915287965156757,1.44338235294118,2.192,NA,NA,"Making Better Places since 1999. Writing about regeneration, housing, local government and 'good' local economics. Editor @claregoff",13328,9280,232,6624,"New Start magazine",2009-03-26 11:40:13,FALSE,FALSE,"United Kingdom","en","26729835"
