ID,sub-project,variations,options,"compatible 
standard",materials,hired plant ,labour,comments,wall,floor,roof,solar,window,energy,type,winage,arnatx,LoftIns,wallinsy
SW3,wall insulation,solid wall,internal on front elevation; external elsewhere,deep,semi-rigid insulation board; rigid insulation board; rainscreen; fixing frame,none,cut and fit insulation; internal finish; relocate pipework; extend roof eaves,internal wall insulation to the front preserves the building's outward appearance,"B, C, D",All,All,All,All,All,All,All,All,All,"cavity with insulation, solid uninsulated, cavity uninsulated, other"
RI1,roof insulation,pitched/gable,insulate between joists,typical,mineral wool,none,site preparation; lay insulation; finishing,,All,A,All,All,All,All,All,All,All,"No Insulation, Poorly Insulated",All
RI2,roof insulation,pitched/gable,insulate between rafters,deep,semi-rigid insulation board,none,cut and fit,,All,B,All,All,All,All,All,All,All,"No Insulation, Poorly Insulated",All
RI3,roof insulation,pitched/gable,insulate between and beneath rafters,deep,semi-rigid insulation board; insulated plasterboard,none,cut and fit,,All,B,All,All,All,All,All,All,All,"No Insulation, Poorly Insulated",All
RI4,roof insulation,flat roof,do nothing,typical,none,none,none,,All,C,All,All,All,All,All,All,All,"No Insulation, Poorly Insulated",All
RI5,roof insulation,flat roof,insulate internally,deep,insulated plasterboard,none,cut and fit,,All,C,All,All,All,All,All,All,All,"No Insulation, Poorly Insulated",All
RI6,roof insulation,flat roof,insulate externally,deep,rigid insulation board; rainscreen; fixing frame,scaffolding/scissor lift,remove roof covering; cut and fit insulation; fit water-proof finish,,All,C,All,All,All,All,All,All,All,"No Insulation, Poorly Insulated",All
WI1,windows,standard performance DG,compliant with regs,typical,windows,scaffolding/scissor lift,"remove old window; fit new window; finish, make good",assume all windows are done in one go,All,All,All,All,"A, B, C, D",All,All,"10 - 20 years, 20 - 30 years, 30 - 40 years, 40 plus years",All,All,All
WI2,windows,advanced performance,inert gas fill; insulated frames; low E coatings etc,deep,windows,scaffolding/scissor lift,"remove old window; fit new window; finish, make good",assume all windows are done in one go,All,All,All,All,"A, B, C, D",All,All,All,All,All,All
XD1,external doors,standard performance DG,compliant with regs,typical,windows,scaffolding/scissor lift,"remove old window; fit new window; finish, make good",assume all windows are done in one go,All,All,All,All,"A, B, C, D",All,All,"10 - 20 years, 20 - 30 years, 30 - 40 years, 40 plus years",All,All,All
XD2,external doors,advanced performance,inert gas fill; insulated frames; low E coatings etc,deep,windows,scaffolding/scissor lift,"remove old window; fit new window; finish, make good",assume all windows are done in one go,All,All,All,All,"A, B, C, D",All,All,All,All,All,All
XD3,external doors,,do nothing,typical,none,none,none,,All,All,All,All,"A, B, C, D",All,All,0 -10 years,All,All,All
AT1,airtightness,masonry construction,dry-lined walls & membrane throughout,deep,"membrane, tape",none,cut and fit,,"A,B,D",All,All,All,All,All,All,All,All,All,All
AT2,airtightness,masonry construction,"wet plaster membrane in floor, roof",deep,"membrane, tape",none,cut and fit,,"A,B,D",All,All,All,All,All,All,All,All,All,All
AT3,airtightness,timber construction,sheet material,deep,tape only,none,cut and fit,,C,All,All,All,All,All,All,All,All,All,All
AT4,airtightness,timber construction,sheet material + membrane,deep,"membrane, tape",none,cut and fit,,C,All,All,All,All,All,All,All,All,All,All
AT5,airtightness,draught-proofing,,typical,draught strip,none,cut and fit,,All,All,All,All,All,All,All,All,All,All,All
VE1,ventilation,"trickle vents, plus extract fans ",fans in kitchen and bathroom(s),typical,extract fans - kitchen/bathroom,none,cut and fit,how many bathrooms to assume? 1? 2?,All,All,All,All,All,All,All,All,All,All,All
VE2,ventilation,whole-house ventilation,mechanical ventilation with heat recovery,deep,"fans, heat exchanger, ductwork, grilles",none,position and fit; adapt existing building as necessary; box in ductwork; finish and make good,,All,All,All,All,All,All,All,All,All,All,All
SH1,space heating system,replace boiler with boiler,,typical,gas boiler; controls,none,remove old boiler and fit new; plumbing repairs as needed,assume TRVs throughout,All,All,All,All,All,"A, B, C, H",All,All,All,All,All
SH2,space heating system,replace boiler with GSHP,coil heat exchanger,deep,GSHP; heat exchanger; low-temp radiators or UFH; controls,mechanical digger,remove boiler and radiators; adapt/replace pipework; fit low-temp radiators or UFH; site preparation; dig trench; back-fill; commission; finishing,,All,All,All,All,All,"A, B, C, D, E, F, H, K, L","A,B,F",All,"suburban residential, village centre",All,All
SH3,space heating system,replace boiler with GSHP,bore-hole heat exchanger,deep,GSHP; heat exchanger; low-temp radiators or UFH; controls,mechanical borer,remove boiler and radiators; adapt/replace pipework; fit low-temp radiators or UFH; site preparation; bore hole(s); back-fill; commission; finishing,,All,All,All,All,All,"A, B, C, D, E, F, H, K, L","A,B,F",All,"rural residential, village centre, rural",All,All
SH4,space heating system,replace boiler with ASHP,,deep,ASHP; low-temp radiators or UFH; controls,none,remove boiler and radiators; adapt/replace pipework; fit low-temp radiators or UFH,,All,All,All,All,All,"A, B, C, D, E, F, H, K, L",All,All,"suburban residential, other urban centre, city centre",All,All
SH5,space heating system,replace boiler with micro-CHP,,deep,CHP unit; new housing; inverter; controls,none,remove old boiler and fit CHP; plumbing repairs as needed; connect CHP and inverter,micro-CHP requires extra space compared with a boiler - only for detached houses?,All,All,All,All,All,"A, B, C, D, E, F, H, K, L","A,B,F",All,"other urban centre, city centre",All,All
SH6,space heating system,replace boiler with district energy,heat only,deep,heat interface unit; controls,mechanical digger,"remove old boiler; adapt/replace pipework; fit heat interface unit, meter, controls; connect to heat main",HIU required to regulate incoming heat supply according to  local demand,All,All,All,All,All,"A, B, C, D, E, F, H, K, L",All,All,"other urban centre, city centre",All,All
SH7,space heating system,replace boiler with district energy,heat and electricity (district CHP),deep,heat interface unit; controls,mechanical digger,"remove old boiler; adapt/replace pipework; fit heat interface unit, heat meter, electricity meter, controls; connect to heat main",,All,All,All,All,All,"A, B, C, D, E, F, H, K, L",All,All,"other urban centre, city centre",All,All
SH8,space heating system,install boiler and central heating,,typical,gas boiler; controls,none,,,All,All,All,All,All,"F, K, L",All,All,All,All,All
WH1,water heating system,integrated with space heating system,primary heating system only,typical,hot water tank,none,position and fit tank; connect plumbing and wiring,,All,All,All,All,All,All,All,All,All,All,All
WH2,water heating system,integrated with space heating system,Primary system + solar thermal,deep,hot water tank; solar panel; fixing frame; pipework; controls,scaffolding/scissor lift,position and fit tank; position and fit panel; connect plumbing and wiring; commission,,All,All,All,A,All,All,All,All,All,All,All
WH3,water heating system,electric immersion heater and tank,immersion only,typical,hot water tank; controls,none,position and fit tank; connect plumbing and wiring,,All,All,All,All,All,All,All,All,All,All,All
WH4,water heating system,electric immersion heater and tank,immersion + solar thermal,deep,hot water tank; solar panel; fixing frame; pipework; controls,scaffolding/scissor lift,position and fit tank; position and fit panel; connect plumbing and wiring; commission,,All,All,All,A,All,All,All,All,All,All,All
WH5,water heating system,electric resistive point-of-use heaters,,typical,POU heater,none,position and fit heaters; plumbing to cold feed and hot tap,assume 3 per dwelling?,All,All,All,All,All,All,All,All,All,All,All
AC1,cooling system,none,,?,none,none,none,,All,All,All,All,All,All,All,All,All,All,All
AC2,cooling system,room air-conditioner(s),,?,A-C unit(s),none,position and fit A-C unit(s),how many room units to assume? 1? 2? More?,All,All,All,All,All,All,All,All,All,All,All
FL1,fixed lighting,"keep fittings, replace bulbs",,typical,bulbs,none,none,,All,All,All,All,All,All,All,All,All,All,All
FL2,fixed lighting,replace whole system,,deep,"fittings, switches, bulbs, wiring",none,,,All,All,All,All,All,All,All,All,All,All,All
PV1,solar PV,none,do nothing,typical,none,none,none,,All,All,All,All,All,All,All,All,All,All,All
PV2,solar PV,roof-mounted system,small array,deep,"modules, frame, inverter, meter, cables",scaffolding/scissor lift,"fit, connect, commission",assume 4 m2 panel array,All,All,All,A,All,All,All,All,All,All,All
PV3,solar PV,roof-mounted system,large array,deep,"modules, frame, inverter, meter, cables",scaffolding/scissor lift,"fit, connect, commission",assume 8 m2 panel array,All,All,All,A,All,All,All,All,All,All,All
EL1,other electrics,keep existing system,,xref,none,none,none,,All,All,All,All,All,All,All,All,All,All,All
EL2,other electrics,replace parts of system,as required because of other works,xref,"cables, boxes, fascias, smoke alarm",,first and second fix,"assume new sockets and wiring for wall insulation options CW2, SW1, SW3",All,All,All,All,All,All,All,All,All,All,All
CO1,consumables,,,all,"fixings, abrasives, adhesives",none,none,"derive from total project cost, say 1%",All,All,All,All,All,All,All,All,All,All,All
